timestamp,ax,ay,az
1479424214781087125,0.17,0.76,9.91
1479424214790937655,0.23,0.75,9.61
1479424214801219055,0.21,0.74,9.71
1479424214811681776,0.11,0.72,10.01
1479424214821136076,0.01,0.7,10.2
1479424214831387764,0.01,0.7,9.91
1479424214841173477,0.08,0.7,10.3
1479424214851105945,0.14,0.69,10.4
1479424214861217099,0.18,0.69,10.4
1479424214871181354,0.23,0.69,10.3
1479424214881215796,0.25,0.69,9.71
1479424214891212737,0.21,0.67,9.91
1479424214901418013,0.17,0.67,10.01
1479424214911965797,0.16,0.68,9.71
1479424214921272990,0.18,0.69,10.3
1479424214931281652,0.16,0.66,10.5
1479424214941340017,0.07,0.65,10.3
1479424214951423065,0.0,0.68,10.2
1479424214961522580,0.0,0.7,9.61
1479424214971398788,0.0,0.71,8.63
1479424214981609101,-0.03,0.7,8.83
1479424214991464454,-0.07,0.65,9.61
1479424215001636390,-0.11,0.63,9.91
1479424215012218906,-0.08,0.67,10.01
1479424215021622835,0.0,0.73,9.71
1479424215031610734,0.06,0.78,9.32
1479424215041627179,0.12,0.78,9.02
1479424215051623419,0.15,0.71,9.12
1479424215061636016,0.08,0.63,9.61
1479424215071647536,-0.09,0.59,9.52
1479424215081671621,-0.22,0.6,9.71
1479424215091660226,-0.17,0.66,9.42
1479424215101763465,-0.03,0.75,8.83
1479424215112511895,0.07,0.8,8.53
1479424215121798879,0.17,0.77,8.83
1479424215131832396,0.21,0.74,9.81
1479424215141872733,0.17,0.74,10.1
1479424215151868610,0.06,0.79,9.32
1479424215161830356,-0.02,0.85,9.32
1479424215171906935,-0.02,0.85,9.32
1479424215181951799,0.05,0.8,9.42
1479424215192245690,0.11,0.71,9.61
1479424215201956456,0.12,0.66,9.32
1479424215212725610,0.08,0.64,9.32
1479424215221988377,0.05,0.66,10.1
1479424215232035311,0.09,0.7,10.4
1479424215242046225,0.17,0.75,10.4
1479424215252090980,0.2,0.79,10.79
1479424215262223959,0.15,0.76,10.79
1479424215272161026,0.09,0.69,10.5
1479424215282158228,0.04,0.58,10.4
1479424215292171747,0.03,0.5,10.99
1479424215302205972,0.08,0.49,10.99
1479424215313001126,0.12,0.54,11.09
1479424215322288594,0.12,0.59,10.99
1479424215332375449,0.0,0.66,10.59
1479424215342293545,-0.24,0.75,10.4
1479424215352308665,-0.46,0.82,10.4
1479424215362353223,-0.47,0.8,9.81
1479424215372366505,-0.27,0.68,10.99
1479424215382390694,-0.09,0.57,11.48
1479424215392436562,0.0,0.52,11.58
1479424215403562439,0.05,0.55,11.18
1479424215413184424,0.07,0.6,11.38
1479424215422541103,0.15,0.61,10.59
1479424215432512868,0.25,0.61,10.01
1479424215442540929,0.28,0.61,10.5
1479424215452655355,0.15,0.55,10.4
1479424215462634933,-0.16,0.47,10.99
1479424215472646023,-0.4,0.48,10.01
1479424215483664253,-0.31,0.58,8.93
1479424215492643226,0.0,0.67,9.52
1479424215503447734,0.3,0.69,10.3
1479424215513464176,0.35,0.62,9.71
1479424215523623406,0.08,0.53,9.22
1479424215532798868,-0.17,0.48,9.12
1479424215544309308,-0.21,0.5,9.52
1479424215553217562,-0.09,0.55,9.61
1479424215563629831,0.06,0.62,9.61
1479424215572822715,0.19,0.72,8.83
1479424215583827134,0.19,0.8,8.93
1479424215592944303,0.11,0.82,8.83
1479424215603621034,0.07,0.77,8.24
1479424215613872881,0.04,0.7,8.83
1479424215623739314,-0.04,0.63,9.61
1479424215633165506,-0.17,0.56,10.1
1479424215644058188,-0.26,0.56,9.32
1479424215653124257,-0.24,0.62,8.93
1479424215663627273,-0.16,0.7,8.63
1479424215673161395,-0.1,0.71,8.83
1479424215683623617,-0.08,0.66,9.71
1479424215693655625,-0.09,0.61,9.61
1479424215703688201,-0.1,0.63,9.61
1479424215713935856,-0.06,0.69,9.12
1479424215723620908,0.0,0.75,9.02
1479424215733228005,0.04,0.78,9.02
1479424215744023790,0.05,0.73,9.81
1479424215753342199,-0.01,0.62,10.1
1479424215763862573,-0.14,0.54,10.2
1479424215773326114,-0.21,0.53,10.1
